Portfolio,Owner,Instrument,Date,Price
Fannie Mae,SimCorp,Options,22/08/2018 21:12:11,121.35
UOB,Apple,Equity,28/09/2018 07:14:56,490.30
BNP Paribas,Microsoft,Bond,18/04/2018 02:08:21,217.63
Fannie Mae,Samsung,Options,27/03/2018 13:52:41,164.19
State Bank of India,Amazon,Futures,08/12/2018 20:27:49,508.44
UOB,Toyota,Futures,01/04/2018 01:26:18,165.48
UOB,Samsung,Swap,14/02/2018 21:28:59,711.69
Barclays,SimCorp,Loan,08/12/2018 16:44:12,372.10
Bank of America,Microsoft,Bond,23/09/2018 11:25:17,1.37
BNP Paribas,Walmart,CDS,01/12/2018 03:31:24,167.78
Barclays,SimCorp,Bond,05/10/2018 07:25:32,191.63
Finanz Informatik,Microsoft,Loan,03/03/2018 12:47:15,16.93
Bank of America,Google,Deposit,10/11/2018 19:49:23,35.39
Fannie Mae,Amazon,Deposit,12/08/2018 04:13:14,236.48
BNP Paribas,Samsung,Equity,18/11/2018 21:17:31,282.35
Finanz Informatik,Microsoft,Bond,25/05/2018 05:38:15,475.50
Barclays,Apple,CDS,05/11/2018 22:29:40,212.44
Finanz Informatik,Walmart,CDS,28/10/2018 15:56:58,778.07
Bank of America,Microsoft,Options,25/05/2018 21:14:20,101.90
Bank of America,Ford,CDS,01/02/2018 01:15:23,211.38
Barclays,Walmart,CDS,08/11/2018 18:32:19,495.53
Finanz Informatik,Toyota,Bond,24/01/2018 05:30:15,134.78
Deutsche Bank,Google,Swap,13/08/2018 07:50:34,331.02
Barclays,Walmart,Loan,02/07/2018 21:36:40,761.95
Finanz Informatik,Ford,Swap,27/07/2018 20:56:40,28.24
Bank of America,Apple,Futures,28/06/2018 06:43:06,283.04
State Bank of India,Ford,Options,24/06/2018 17:23:32,411.50
Bank of America,Samsung,Bond,26/11/2018 19:15:23,14.94
Finanz Informatik,Google,Equity,14/12/2018 09:11:51,441.42
Fannie Mae,SimCorp,Equity,07/03/2018 10:23:27,419.42
Barclays,Amazon,CDS,08/05/2018 16:53:31,213.55
BNP Paribas,Amazon,Futures,17/10/2018 18:44:36,149.27
Bank of America,SimCorp,Bond,22/03/2018 02:35:56,501.50
Barclays,Samsung,CDS,05/06/2018 23:31:50,354.85
Barclays,Walmart,Loan,22/04/2018 20:07:26,547.43
Deutsche Bank,Samsung,Futures,20/03/2018 22:24:25,298.74
BNP Paribas,Ford,Swap,23/01/2018 06:39:58,183.64
Fannie Mae,Ford,Swap,28/03/2018 21:11:42,435.61
State Bank of India,Google,Loan,24/03/2018 15:19:29,426.74
Bank of America,Apple,Equity,20/06/2018 13:46:19,227.46
Fannie Mae,Google,Deposit,07/12/2018 18:51:18,299.28
Deutsche Bank,Toyota,Swap,07/09/2018 22:36:42,212.30
State Bank of India,Google,Equity,03/05/2018 04:42:28,50.50
BNP Paribas,Samsung,Equity,21/12/2018 20:23:26,235.32
UOB,Apple,Equity,14/11/2018 20:08:28,146.49
State Bank of India,Apple,Bond,18/05/2018 01:52:23,177.74
BNP Paribas,Amazon,Deposit,20/10/2018 20:31:03,167.23
Bank of America,Google,Deposit,12/02/2018 21:56:21,468.89
State Bank of India,Microsoft,Equity,15/09/2018 01:46:50,263.89
State Bank of India,Apple,Options,28/10/2018 09:13:25,229.04
Finanz Informatik,Apple,Futures,07/10/2018 18:19:58,122.90
BNP Paribas,SimCorp,Futures,04/08/2018 19:09:08,705.61
BNP Paribas,Toyota,CDS,13/04/2018 13:36:55,209.69
Deutsche Bank,SimCorp,Equity,25/04/2018 21:46:26,14.76
Deutsche Bank,Samsung,Swap,19/07/2018 10:33:55,345.66
Fannie Mae,Apple,Bond,15/07/2018 16:22:12,190.74
Fannie Mae,Amazon,Deposit,02/12/2018 13:22:10,250.56
BNP Paribas,Toyota,CDS,27/07/2018 08:45:10,224.09
State Bank of India,Toyota,Equity,22/12/2018 14:25:39,79.19
Bank of America,Walmart,Bond,17/09/2018 08:56:59,203.22
BNP Paribas,Amazon,Equity,05/07/2018 13:24:34,113.86
State Bank of India,Google,Options,20/04/2018 12:11:53,158.37
BNP Paribas,Toyota,Futures,19/08/2018 11:36:56,79.89
Barclays,Toyota,CDS,28/06/2018 15:32:41,611.87
Fannie Mae,Samsung,Bond,08/07/2018 08:58:47,235.71
Fannie Mae,Apple,Deposit,01/01/2018 08:59:32,8.32
State Bank of India,SimCorp,Options,23/12/2018 04:34:08,608.25
State Bank of India,SimCorp,Bond,08/12/2018 07:38:48,57.05
Barclays,Samsung,Swap,13/11/2018 08:56:34,138.58
Deutsche Bank,Apple,Deposit,08/02/2018 17:14:07,306.02
UOB,Samsung,Futures,05/12/2018 16:57:53,153.41
Deutsche Bank,Google,Equity,06/07/2018 03:34:45,618.99
Fannie Mae,Apple,CDS,13/09/2018 22:40:57,277.70
BNP Paribas,SimCorp,Bond,17/03/2018 15:22:55,391.17
Barclays,Apple,Deposit,26/09/2018 11:50:19,573.13
Fannie Mae,SimCorp,Options,26/04/2018 18:12:45,212.36
State Bank of India,Ford,Equity,20/04/2018 04:08:56,150.84
UOB,Walmart,Bond,02/10/2018 05:15:57,577.52
BNP Paribas,Amazon,Bond,11/07/2018 13:58:44,767.89
Barclays,Walmart,Futures,23/07/2018 10:49:30,285.69
Finanz Informatik,Ford,Loan,11/05/2018 12:27:49,2.97
Bank of America,Microsoft,Swap,04/07/2018 15:57:41,173.11
Fannie Mae,Amazon,Options,04/02/2018 04:15:32,216.30
Finanz Informatik,Toyota,Swap,19/01/2018 05:59:41,662.21
BNP Paribas,Google,Options,09/08/2018 05:39:52,128.57
Barclays,Google,Options,16/11/2018 22:17:15,103.77
Finanz Informatik,Ford,Deposit,11/07/2018 18:18:56,70.64
Bank of America,Microsoft,Options,02/01/2018 02:52:59,804.10
Bank of America,Amazon,Equity,06/10/2018 06:09:07,751.34
State Bank of India,Toyota,Futures,17/11/2018 05:18:56,354.67
State Bank of India,Toyota,Swap,16/07/2018 05:35:35,156.65
BNP Paribas,Microsoft,Futures,21/04/2018 21:46:05,425.68
Bank of America,Google,Futures,27/03/2018 20:49:38,83.79
UOB,Ford,CDS,01/03/2018 19:24:38,369.79
Deutsche Bank,Walmart,Loan,18/12/2018 15:19:10,22.89
Barclays,Google,Options,28/02/2018 17:15:47,129.14
Finanz Informatik,Ford,Equity,21/11/2018 04:34:13,391.83
Barclays,Google,Deposit,14/05/2018 02:52:28,249.17
Bank of America,Walmart,Futures,14/09/2018 13:22:37,220.27
Bank of America,Walmart,Bond,18/07/2018 17:23:24,101.30
BNP Paribas,Apple,Swap,06/03/2018 07:20:12,143.64
UOB,Samsung,Equity,04/03/2018 17:29:27,578.46
UOB,Ford,Swap,12/12/2018 21:04:21,115.34
Deutsche Bank,SimCorp,Equity,08/01/2018 11:46:14,592.95
Fannie Mae,Google,Swap,14/05/2018 18:23:53,145.43
Fannie Mae,Ford,Swap,21/02/2018 03:08:57,360.87
Fannie Mae,Ford,Futures,08/10/2018 09:35:11,318.14
State Bank of India,Microsoft,Swap,27/03/2018 14:58:37,651.15
Bank of America,Google,Swap,17/10/2018 17:31:07,314.60
Finanz Informatik,Samsung,Futures,28/03/2018 06:42:10,80.51
Fannie Mae,Google,Swap,28/09/2018 22:59:42,17.71
Fannie Mae,SimCorp,Futures,23/03/2018 01:02:40,28.55
UOB,SimCorp,Deposit,09/10/2018 03:52:44,142.60
State Bank of India,Samsung,Options,14/05/2018 08:14:15,193.70
Deutsche Bank,Samsung,Swap,01/03/2018 20:20:12,542.01
Fannie Mae,Apple,Swap,08/07/2018 16:21:11,387.46
BNP Paribas,Microsoft,Futures,07/05/2018 08:59:09,358.86
UOB,Samsung,Deposit,22/08/2018 01:30:40,372.79
UOB,Toyota,Loan,15/04/2018 20:54:57,402.02
State Bank of India,Apple,Deposit,16/12/2018 12:22:35,55.79
UOB,Google,Futures,04/12/2018 10:11:17,696.53
Fannie Mae,Toyota,Futures,02/12/2018 09:56:09,242.24
Barclays,Apple,Bond,15/11/2018 18:57:54,383.82
Deutsche Bank,Ford,CDS,19/01/2018 15:11:24,22.99
Deutsche Bank,Walmart,Equity,18/11/2018 07:37:54,34.54
Bank of America,Google,CDS,09/07/2018 19:06:36,220.83
Barclays,Microsoft,Equity,16/06/2018 07:57:24,176.43
Fannie Mae,SimCorp,Swap,20/10/2018 19:50:15,134.12
Fannie Mae,Apple,Bond,22/11/2018 11:12:10,80.22
Bank of America,Walmart,Swap,18/10/2018 10:24:42,632.73
Finanz Informatik,Microsoft,CDS,27/06/2018 01:15:56,112.23
State Bank of India,Samsung,Loan,07/03/2018 10:14:20,477.92
BNP Paribas,Samsung,CDS,26/06/2018 15:33:09,124.43
Barclays,Google,Swap,25/12/2018 21:24:35,45.23
Fannie Mae,Microsoft,Loan,24/04/2018 16:15:46,734.61
Fannie Mae,Apple,Swap,07/03/2018 13:35:13,175.65
Barclays,Apple,Deposit,03/08/2018 20:52:23,206.83
BNP Paribas,Walmart,Futures,25/12/2018 20:32:24,128.22
Barclays,Samsung,Options,02/12/2018 09:09:46,181.44
Finanz Informatik,Google,Bond,09/08/2018 03:27:38,276.68
UOB,Samsung,Futures,06/04/2018 13:40:03,18.16
BNP Paribas,Google,Options,27/04/2018 16:34:52,155.34
Deutsche Bank,Apple,CDS,28/01/2018 19:35:47,439.02
Barclays,Ford,Equity,13/07/2018 12:21:15,491.10
Deutsche Bank,Apple,Futures,09/04/2018 04:34:47,404.68
Bank of America,Walmart,Bond,09/06/2018 16:12:25,449.41
State Bank of India,Samsung,Futures,01/08/2018 03:58:03,137.76
Finanz Informatik,Microsoft,Equity,02/01/2018 15:41:22,429.77
Fannie Mae,Samsung,Equity,06/12/2018 19:50:46,604.32
Finanz Informatik,Ford,Swap,16/05/2018 19:42:50,217.41
Fannie Mae,SimCorp,Swap,10/03/2018 05:26:58,80.67
BNP Paribas,Samsung,CDS,04/06/2018 04:43:26,289.96
Finanz Informatik,Google,Deposit,04/02/2018 09:24:47,109.82
State Bank of India,Samsung,Bond,20/06/2018 17:51:56,161.97
Finanz Informatik,Samsung,Loan,21/08/2018 12:13:28,621.24
BNP Paribas,Microsoft,Futures,27/01/2018 22:46:49,92.31
UOB,Walmart,Futures,22/03/2018 05:44:14,54.32
Finanz Informatik,Samsung,Deposit,24/05/2018 10:50:10,367.55
Fannie Mae,Ford,Options,04/02/2018 15:22:02,268.68
State Bank of India,Apple,Swap,05/08/2018 17:25:11,423.12
Deutsche Bank,Ford,CDS,02/10/2018 08:27:06,487.16
BNP Paribas,Walmart,Futures,23/05/2018 21:04:17,132.25
UOB,Toyota,CDS,14/01/2018 07:53:09,9.30
State Bank of India,Walmart,Loan,26/11/2018 05:14:47,41.32
Fannie Mae,Microsoft,Deposit,18/01/2018 09:36:30,87.34
Deutsche Bank,Google,Equity,21/09/2018 01:19:40,309.80
Barclays,Microsoft,Swap,16/02/2018 11:16:35,267.16
Deutsche Bank,Microsoft,Equity,26/03/2018 13:55:40,310.33
Deutsche Bank,Amazon,Loan,13/11/2018 20:31:37,82.35
State Bank of India,Walmart,Futures,12/04/2018 21:23:41,110.59
BNP Paribas,Apple,Bond,18/04/2018 10:58:55,113.09
BNP Paribas,Walmart,Loan,04/03/2018 01:02:58,197.37
State Bank of India,Walmart,Futures,21/08/2018 03:48:52,511.17
Fannie Mae,Microsoft,Equity,01/03/2018 15:23:02,106.35
UOB,Walmart,Deposit,22/12/2018 06:18:15,38.88
UOB,Amazon,Bond,07/09/2018 11:33:25,74.79
Bank of America,Apple,Bond,28/10/2018 20:25:03,314.13
Deutsche Bank,Ford,CDS,25/08/2018 08:48:31,95.91
UOB,Walmart,CDS,05/06/2018 18:14:31,437.98
BNP Paribas,Ford,Futures,13/10/2018 18:30:06,629.08
UOB,Microsoft,Bond,21/09/2018 21:43:23,890.65
Deutsche Bank,Apple,Options,21/01/2018 01:25:38,747.27
Deutsche Bank,Ford,Bond,12/07/2018 16:31:55,183.28
UOB,Toyota,Options,20/11/2018 13:29:01,37.25
BNP Paribas,Samsung,CDS,27/02/2018 02:22:26,259.22
Finanz Informatik,Samsung,Options,09/09/2018 21:13:30,4.98
Finanz Informatik,Samsung,Equity,02/09/2018 22:29:42,38.82
Bank of America,Amazon,Swap,06/04/2018 19:12:57,107.81
Finanz Informatik,Apple,Swap,22/10/2018 23:13:50,268.31
Finanz Informatik,Ford,CDS,26/09/2018 06:38:59,475.57
Bank of America,Walmart,Bond,25/10/2018 22:57:12,3.18
Deutsche Bank,Microsoft,Deposit,22/11/2018 07:52:27,285.50
Deutsche Bank,Walmart,Bond,25/08/2018 13:39:14,173.37
Fannie Mae,Google,Swap,23/08/2018 15:02:08,365.72
BNP Paribas,Apple,Loan,02/02/2018 02:08:51,733.93
Finanz Informatik,Google,Bond,09/12/2018 21:33:27,636.49
Finanz Informatik,Toyota,Deposit,10/07/2018 12:20:16,372.55
Fannie Mae,Toyota,Options,03/02/2018 17:21:01,17.15
Barclays,Samsung,Loan,17/09/2018 23:08:01,457.94
BNP Paribas,Walmart,Equity,15/07/2018 07:12:44,280.64
Deutsche Bank,Samsung,Deposit,12/10/2018 15:36:58,471.61
Bank of America,SimCorp,Swap,27/01/2018 12:26:05,522.59
Finanz Informatik,Microsoft,Swap,01/03/2018 16:32:04,401.88
Bank of America,Walmart,Equity,03/12/2018 13:02:29,482.60
Barclays,Google,Equity,11/09/2018 13:40:09,310.28
UOB,Google,CDS,06/06/2018 10:54:35,64.13
BNP Paribas,SimCorp,Futures,02/01/2018 22:20:55,621.25
Barclays,Ford,Deposit,27/01/2018 05:10:15,443.83
State Bank of India,Amazon,Futures,27/07/2018 10:53:46,421.22
Deutsche Bank,Amazon,CDS,25/07/2018 20:46:09,555.88
Fannie Mae,Toyota,Equity,15/03/2018 21:22:42,318.80
Finanz Informatik,Walmart,Deposit,21/05/2018 16:05:49,488.62
BNP Paribas,SimCorp,Equity,21/04/2018 01:17:11,46.93
Barclays,Apple,Options,07/05/2018 07:15:16,30.37
BNP Paribas,Google,Loan,12/10/2018 23:40:20,5.69
UOB,Ford,Bond,11/12/2018 16:36:49,230.16
Deutsche Bank,Google,Options,16/05/2018 06:05:23,252.17
Barclays,Samsung,Deposit,19/01/2018 20:17:20,55.64
Finanz Informatik,Ford,Loan,10/12/2018 11:56:36,710.49
Deutsche Bank,Amazon,Deposit,12/07/2018 20:38:53,1.61
State Bank of India,Microsoft,Equity,22/05/2018 22:11:04,58.99
Barclays,Microsoft,Swap,04/09/2018 16:50:35,190.79
Finanz Informatik,SimCorp,Futures,23/07/2018 01:01:15,8.12
Fannie Mae,Amazon,Bond,24/10/2018 02:43:59,480.07
Finanz Informatik,Ford,Loan,05/06/2018 10:31:06,88.49
BNP Paribas,Apple,Deposit,25/02/2018 10:54:41,306.01
State Bank of India,Ford,Futures,09/07/2018 01:11:10,416.94
State Bank of India,Samsung,Futures,24/08/2018 10:13:54,136.50
Bank of America,Ford,Deposit,22/11/2018 05:32:56,173.56
Fannie Mae,Apple,Futures,13/06/2018 08:25:43,419.25
Fannie Mae,Amazon,Equity,22/05/2018 05:39:12,46.52
Fannie Mae,Apple,Loan,07/02/2018 01:07:37,159.03
Barclays,Microsoft,Loan,26/06/2018 22:23:57,148.96
State Bank of India,SimCorp,CDS,07/03/2018 04:41:30,107.32
Bank of America,Microsoft,CDS,06/06/2018 04:42:21,65.23
Fannie Mae,Samsung,Swap,19/02/2018 23:06:46,93.47
UOB,Toyota,Bond,13/10/2018 17:18:08,365.77
Finanz Informatik,Walmart,Options,16/02/2018 04:36:48,171.80
Fannie Mae,Apple,Deposit,09/10/2018 05:32:37,211.35
BNP Paribas,Ford,Bond,23/04/2018 20:20:49,168.11
UOB,Walmart,Futures,03/02/2018 14:18:48,496.28
Finanz Informatik,Microsoft,Futures,16/09/2018 18:56:14,296.13
Fannie Mae,Toyota,Options,02/08/2018 10:34:13,186.68
UOB,Samsung,Deposit,25/10/2018 16:36:40,269.80
State Bank of India,Toyota,Bond,25/12/2018 18:26:22,501.42
State Bank of India,Apple,Loan,07/09/2018 05:58:47,107.92
BNP Paribas,Apple,Futures,20/10/2018 14:28:40,27.75
Fannie Mae,Microsoft,Options,12/10/2018 12:34:36,734.57
State Bank of India,Google,Options,24/04/2018 17:30:08,280.34
Deutsche Bank,Samsung,CDS,19/01/2018 19:17:20,430.36
Finanz Informatik,Toyota,Options,26/10/2018 15:33:28,111.10
Bank of America,Amazon,Bond,20/09/2018 19:35:09,228.49
BNP Paribas,Microsoft,Bond,06/02/2018 08:39:31,925.80
Fannie Mae,Microsoft,Loan,28/06/2018 05:40:41,97.00
Fannie Mae,Apple,Deposit,03/10/2018 08:47:52,112.04
Fannie Mae,Google,Loan,07/04/2018 23:41:27,298.34
State Bank of India,Apple,Loan,16/09/2018 09:03:34,371.72
Fannie Mae,Ford,CDS,22/09/2018 01:29:16,392.16
Bank of America,Toyota,Equity,11/04/2018 02:52:59,875.72
Bank of America,Google,Bond,07/11/2018 04:43:10,24.38
Finanz Informatik,Google,Equity,21/11/2018 08:24:37,189.30
Barclays,Amazon,Futures,01/09/2018 05:50:02,151.66
Barclays,Apple,Loan,27/09/2018 22:50:54,166.81
Finanz Informatik,Microsoft,Bond,17/03/2018 08:38:19,341.06
Deutsche Bank,Microsoft,Futures,15/01/2018 03:44:20,94.99
Finanz Informatik,Toyota,Deposit,07/09/2018 06:51:24,90.52
Barclays,SimCorp,Bond,25/12/2018 04:24:13,742.14
Bank of America,SimCorp,Futures,25/03/2018 06:35:22,109.75
Fannie Mae,SimCorp,Bond,08/07/2018 15:27:18,169.92
Barclays,Microsoft,Futures,17/10/2018 04:09:32,413.83
Deutsche Bank,SimCorp,Equity,13/02/2018 19:13:39,55.06
Deutsche Bank,SimCorp,Equity,17/02/2018 23:25:35,833.06
Deutsche Bank,Apple,Equity,06/10/2018 08:08:41,194.72
BNP Paribas,Apple,Equity,04/11/2018 16:21:55,474.95
Barclays,Samsung,Futures,20/01/2018 23:03:18,42.45
Deutsche Bank,Walmart,Swap,18/11/2018 15:19:22,137.85
Deutsche Bank,SimCorp,Bond,25/02/2018 14:16:22,175.89
Bank of America,SimCorp,Options,22/03/2018 22:38:13,901.32
Finanz Informatik,Samsung,Futures,01/12/2018 13:10:19,32.83
Finanz Informatik,Ford,Swap,23/12/2018 21:46:22,110.10
Deutsche Bank,Toyota,Loan,01/04/2018 06:04:42,21.12
State Bank of India,Apple,Equity,23/09/2018 20:04:03,95.00
Barclays,Ford,Equity,16/06/2018 15:33:31,33.00
Fannie Mae,Microsoft,Bond,15/01/2018 15:33:11,346.06
Barclays,SimCorp,Equity,15/06/2018 07:44:13,803.63
UOB,Toyota,Loan,19/10/2018 18:31:48,195.41
Deutsche Bank,SimCorp,Loan,16/04/2018 17:59:14,329.79
Finanz Informatik,Samsung,Bond,24/04/2018 23:45:40,56.49
State Bank of India,Microsoft,Loan,01/06/2018 10:59:19,329.21
BNP Paribas,Toyota,Futures,04/08/2018 23:09:56,287.72
Finanz Informatik,SimCorp,Swap,19/01/2018 23:41:59,740.19
BNP Paribas,Samsung,Deposit,14/07/2018 08:14:52,662.85
Deutsche Bank,Toyota,Deposit,02/06/2018 13:29:26,55.62
UOB,Samsung,Deposit,28/03/2018 09:21:16,156.52
Deutsche Bank,Ford,Loan,21/09/2018 07:53:54,107.83
Deutsche Bank,Microsoft,CDS,02/10/2018 14:39:29,118.51
Barclays,Microsoft,Deposit,24/01/2018 05:05:39,201.70
State Bank of India,Ford,Bond,12/03/2018 18:19:09,90.10
Deutsche Bank,Walmart,Loan,04/05/2018 14:08:01,599.20
Deutsche Bank,Samsung,Loan,16/08/2018 12:11:18,54.82
Fannie Mae,Microsoft,Futures,22/01/2018 18:09:30,525.67
Finanz Informatik,SimCorp,CDS,13/03/2018 22:58:24,140.21
BNP Paribas,Apple,Options,10/02/2018 04:41:29,313.56
Bank of America,Apple,Loan,17/03/2018 10:11:13,584.55
Barclays,Walmart,CDS,03/10/2018 06:07:04,274.01
Bank of America,Toyota,Loan,14/08/2018 03:43:15,131.43
BNP Paribas,Toyota,Deposit,22/06/2018 07:14:33,484.16
Deutsche Bank,Toyota,Deposit,24/07/2018 11:26:43,80.89
BNP Paribas,Walmart,Loan,11/01/2018 19:40:39,13.17
Deutsche Bank,Ford,Futures,08/01/2018 18:45:11,373.85
State Bank of India,SimCorp,Futures,26/02/2018 18:01:47,43.29
Deutsche Bank,Apple,Equity,18/08/2018 11:24:51,107.82
Bank of America,Walmart,Deposit,10/02/2018 19:17:45,67.14
Deutsche Bank,Microsoft,CDS,04/04/2018 11:13:08,50.93
UOB,Samsung,Swap,23/08/2018 16:46:53,65.33
Finanz Informatik,Ford,Bond,06/02/2018 10:41:18,335.33
Barclays,Microsoft,Futures,10/09/2018 10:21:55,165.35
Fannie Mae,Microsoft,Deposit,05/06/2018 17:41:13,114.20
BNP Paribas,Amazon,Loan,21/06/2018 19:08:34,227.80
UOB,Ford,Loan,05/12/2018 13:23:12,48.43
Finanz Informatik,Samsung,Futures,18/03/2018 03:08:40,130.92
Deutsche Bank,SimCorp,Swap,03/02/2018 03:52:04,475.68
Finanz Informatik,Samsung,Deposit,11/10/2018 08:58:47,573.67
Finanz Informatik,SimCorp,Swap,10/12/2018 04:59:08,191.09
Deutsche Bank,SimCorp,CDS,27/08/2018 07:55:10,558.38
Deutsche Bank,Microsoft,Equity,03/09/2018 13:01:36,135.69
BNP Paribas,Amazon,Futures,03/04/2018 06:35:02,304.17
BNP Paribas,Toyota,Equity,25/04/2018 20:09:15,763.17
Barclays,Samsung,Swap,27/03/2018 01:16:10,155.30
Fannie Mae,Amazon,Loan,15/07/2018 08:05:19,704.83
Deutsche Bank,Ford,Loan,28/12/2018 22:06:54,381.83
Barclays,Toyota,Deposit,25/10/2018 08:27:09,265.11
State Bank of India,Amazon,Equity,22/01/2018 16:28:41,58.95
UOB,Samsung,CDS,11/02/2018 12:28:56,481.32
State Bank of India,Amazon,Loan,11/08/2018 10:39:30,263.92
State Bank of India,Ford,Swap,21/06/2018 07:45:19,189.85
Barclays,Amazon,Bond,13/04/2018 14:03:37,65.94
UOB,SimCorp,Swap,03/05/2018 15:08:30,165.46
BNP Paribas,Ford,Bond,20/08/2018 20:55:16,288.02
Deutsche Bank,Google,Deposit,15/12/2018 13:15:58,76.84
Finanz Informatik,Apple,Bond,11/04/2018 09:04:31,154.99
Fannie Mae,Microsoft,CDS,07/10/2018 12:23:30,66.95
Deutsche Bank,Samsung,Equity,18/04/2018 16:45:53,420.20
Barclays,Google,Loan,01/11/2018 01:50:43,526.69
UOB,Amazon,Swap,27/04/2018 12:31:56,91.88
Fannie Mae,Toyota,Loan,05/07/2018 14:48:50,92.90
Bank of America,Google,CDS,20/10/2018 01:57:47,472.47
Deutsche Bank,Toyota,Loan,24/04/2018 06:52:54,242.06
Fannie Mae,Samsung,Equity,12/11/2018 16:47:45,75.47
Fannie Mae,Apple,Bond,21/07/2018 15:46:07,353.34
Bank of America,Toyota,Equity,11/07/2018 12:28:02,549.34
Deutsche Bank,Ford,Options,15/07/2018 18:01:47,663.62
Fannie Mae,Google,Bond,01/05/2018 15:37:42,59.24
Barclays,Toyota,Loan,17/06/2018 11:40:38,183.02
Fannie Mae,Toyota,Bond,22/10/2018 08:30:31,432.56
Bank of America,Ford,CDS,20/07/2018 08:37:48,57.27
UOB,Toyota,Futures,13/06/2018 22:34:05,367.61
BNP Paribas,Amazon,Loan,25/06/2018 11:10:20,133.83
Fannie Mae,Apple,CDS,18/08/2018 12:04:47,427.29
UOB,Samsung,Equity,02/09/2018 10:20:33,243.67
Deutsche Bank,Amazon,Options,24/01/2018 06:39:14,269.56
Fannie Mae,Microsoft,Equity,17/10/2018 19:07:46,197.15
UOB,Samsung,Loan,06/09/2018 06:14:35,844.32
Fannie Mae,Walmart,Bond,28/09/2018 17:30:38,221.39
UOB,Samsung,Bond,03/07/2018 13:37:23,368.21
Finanz Informatik,SimCorp,CDS,28/05/2018 22:05:54,52.28
BNP Paribas,Apple,Deposit,02/03/2018 13:17:31,506.63
Finanz Informatik,SimCorp,Swap,05/06/2018 01:41:49,664.09
Bank of America,Samsung,Futures,04/03/2018 14:55:40,420.55
Deutsche Bank,Walmart,Deposit,11/03/2018 18:04:52,108.42
Finanz Informatik,Apple,Options,28/04/2018 20:37:12,258.62
Fannie Mae,Microsoft,Loan,28/02/2018 05:39:35,188.73
Deutsche Bank,Walmart,Deposit,05/09/2018 16:39:42,56.38
State Bank of India,Samsung,Loan,12/01/2018 12:14:07,52.68
State Bank of India,Toyota,Futures,23/09/2018 10:17:42,80.21
BNP Paribas,SimCorp,Deposit,26/12/2018 16:19:53,69.16
Fannie Mae,Ford,Bond,01/10/2018 10:53:14,49.99
State Bank of India,SimCorp,Loan,15/10/2018 21:07:03,375.38
Barclays,Ford,Futures,09/12/2018 11:03:24,720.60
Fannie Mae,Microsoft,Swap,04/12/2018 02:38:41,136.02
Bank of America,Apple,Swap,07/10/2018 13:07:57,314.71
Bank of America,Microsoft,Swap,26/05/2018 06:27:10,467.60
Barclays,SimCorp,Bond,08/12/2018 15:35:26,284.20
Finanz Informatik,Amazon,Loan,07/07/2018 08:57:40,337.09
Finanz Informatik,Apple,Swap,06/03/2018 22:21:36,554.11
Bank of America,SimCorp,Equity,28/03/2018 01:59:01,26.57
State Bank of India,Toyota,Loan,21/01/2018 03:57:27,332.30
Finanz Informatik,Samsung,Futures,06/09/2018 07:34:52,77.64
Finanz Informatik,Ford,Futures,24/10/2018 18:13:09,322.69
Finanz Informatik,Ford,Equity,24/02/2018 16:48:53,157.60
State Bank of India,Ford,Futures,18/06/2018 19:01:31,70.31
Barclays,Google,Equity,09/03/2018 23:16:28,701.05
State Bank of India,Samsung,Swap,06/12/2018 08:39:23,203.64
Barclays,Toyota,Futures,11/09/2018 09:31:55,482.10
UOB,Toyota,Equity,21/11/2018 06:44:58,19.78
Barclays,Amazon,CDS,05/06/2018 05:01:32,677.27
Fannie Mae,Walmart,CDS,06/06/2018 19:40:30,102.10
Barclays,Microsoft,Loan,06/03/2018 06:37:02,759.58
Bank of America,Toyota,Options,03/01/2018 04:01:57,175.31
Finanz Informatik,Ford,CDS,24/11/2018 04:03:42,156.05
Bank of America,Microsoft,Equity,12/10/2018 03:03:28,635.77
Bank of America,Ford,Loan,20/04/2018 12:02:39,271.30
UOB,Toyota,Swap,16/08/2018 11:41:24,56.57
Fannie Mae,Ford,Loan,11/03/2018 09:31:46,50.90
BNP Paribas,SimCorp,CDS,18/08/2018 09:37:20,570.93
BNP Paribas,Amazon,Loan,05/08/2018 20:19:33,81.04
Barclays,Walmart,Bond,21/03/2018 15:37:08,253.69
State Bank of India,Microsoft,Bond,27/05/2018 07:04:16,388.49
UOB,Amazon,Equity,26/01/2018 19:36:45,258.32
BNP Paribas,Ford,Options,17/08/2018 11:25:25,38.36
UOB,SimCorp,Futures,11/11/2018 21:20:54,94.48
UOB,Apple,Options,04/01/2018 02:28:07,604.17
BNP Paribas,Samsung,Bond,09/05/2018 01:43:28,298.29
UOB,Walmart,Loan,12/12/2018 08:58:22,461.77
Barclays,Toyota,Bond,22/02/2018 23:23:26,84.40
State Bank of India,Microsoft,Bond,28/01/2018 21:26:59,269.01
Fannie Mae,Samsung,Bond,02/02/2018 03:43:36,230.92
BNP Paribas,Apple,Futures,13/04/2018 08:47:54,540.66
Deutsche Bank,Microsoft,Swap,15/04/2018 13:34:17,233.91
State Bank of India,Ford,Deposit,25/03/2018 15:36:56,2.77
Finanz Informatik,Toyota,Deposit,13/09/2018 21:48:48,71.96
BNP Paribas,SimCorp,Futures,21/03/2018 21:52:47,401.71
Bank of America,Amazon,Options,25/02/2018 03:17:15,346.96
